OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE
3401787,T20130013657,ABS to receive accident,Finished,1/07/2013,17.05.00,No,Collision with a fixed object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,80 km/hr,Yes,261481,145.21846,-37.59477
3401788,T20130013658,ABS to receive accident,Finished,1/07/2013,19.30.00,Yes,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,50 km/hr,Yes,261530,145.2671,-37.91228
3401789,T20130013659,ABS to receive accident,Finished,1/07/2013,15.57.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,80 km/hr,No,58184,142.19593,-34.23915
3401790,T20130013662,ABS to receive accident,Finished,1/07/2013,18.05.00,Yes,Collision with vehicle,Monday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,70 km/hr,No,1323,144.95801,-37.68953
3401791,T20130013668,ABS to receive accident,Finished,1/07/2013,16.16.00,No,Collision with vehicle,Monday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,871,145.21823,-37.99988
3401792,T20130013669,ABS to receive accident,Finished,1/07/2013,19.12.00,Yes,Collision with vehicle,Monday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,No,262150,145.16102,-37.88055
3401793,T20130013671,ABS to receive accident,Finished,1/07/2013,17.52.00,No,Collision with vehicle,Monday,PULLING OUT -REAR END,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,262920,144.91922,-37.63091
3401794,T20130013672,ABS to receive accident,Finished,1/07/2013,18.00.00,Yes,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,T intersection,Serious injury accident,60 km/hr,No,48388,145.12928,-38.1362
3401795,T20130013675,ABS to receive accident,Finished,1/07/2013,21.50.00,Yes,Struck Pedestrian,Monday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,Yes,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,No,261500,146.25044,-38.1885
3401796,T20130013678,ABS to receive accident,Finished,1/07/2013,07.25.00,No,Collision with a fixed object,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,80 km/hr,Yes,262636,144.06837,-37.83918
3401797,T20130013681,ABS to receive accident,Finished,1/07/2013,14.00.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Serious injury accident,80 km/hr,No,262245,145.28824,-37.8377
3401798,T20130013687,ABS to receive accident,Finished,2/07/2013,06.24.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark No street lights,Yes,Not at intersection,Other injury accident,60 km/hr,No,261482,144.91561,-37.82144
3401799,T20130013688,ABS to receive accident,Finished,2/07/2013,07.45.00,No,Vehicle overturned (no collision),Tuesday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,53011,143.84116,-37.59874
3401800,T20130013690,ABS to receive accident,Finished,2/07/2013,08.55.00,No,Collision with vehicle,Tuesday,U TURN,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,1051,144.74467,-38.3395
3401801,T20130013693,ABS to receive accident,Finished,2/07/2013,08.09.00,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,41152,144.99617,-37.88859
3401802,T20130013706,ABS to receive accident,Finished,2/07/2013,11.35.00,No,Collision with vehicle,Tuesday,LEFT TURN SIDESWIPE,No,Day,Yes,Cross intersection,Serious injury accident,40 km/hr,No,36688,144.99483,-37.79022
3401803,T20130013709,ABS to receive accident,Finished,1/07/2013,21.05.00,Yes,Collision with vehicle,Monday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,70 km/hr,No,261636,145.21581,-37.99237
3401804,T20130013712,ABS to receive accident,Finished,1/07/2013,15.45.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,49189,146.15189,-38.21009
3401805,T20130013716,ABS to receive accident,Finished,2/07/2013,11.31.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,71971,144.36456,-38.14514
3401806,T20130013718,ABS to receive accident,Finished,2/07/2013,09.45.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,42704,145.03158,-37.99307
3401807,T20130013719,ABS to receive accident,Finished,2/07/2013,13.46.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,Yes,Not at intersection,Serious injury accident,Not known,No,262020,145.24735,-37.803
3401808,T20130013730,ABS to receive accident,Finished,1/07/2013,18.30.00,Yes,Vehicle overturned (no collision),Monday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dark Street lights unknown,No,Not at intersection,Other injury accident,100 km/hr,No,261531,144.88809,-37.73424
3401809,T20130013838,ABS to receive accident,Finished,3/07/2013,18.50.00,Yes,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Other injury accident,110 km/hr,Yes,261570,144.94471,-37.54364
3401810,T20130013840,ABS to receive accident,Finished,3/07/2013,18.35.00,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,80 km/hr,No,263932,145.01028,-37.83093
3401811,T20130013845,ABS to receive accident,Finished,3/07/2013,20.00.00,Yes,Collision with vehicle,Wednesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Yes,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,269664,145.1894,-37.96099
3401812,T20130013848,ABS to receive accident,Finished,3/07/2013,20.20.00,Yes,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,80 km/hr,No,44312,144.74708,-37.83944
3401813,T20130013849,ABS to receive accident,Finished,3/07/2013,22.10.00,Yes,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,T intersection,Other injury accident,70 km/hr,No,37233,144.69116,-37.86356
3401814,T20130013852,ABS to receive accident,Finished,4/07/2013,00.20.00,Yes,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,70 km/hr,Yes,265604,143.81991,-37.55135
3401815,T20130013856,ABS to receive accident,Finished,4/07/2013,06.35.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,261641,145.26383,-38.06082
3401816,T20130013859,ABS to receive accident,Finished,4/07/2013,07.17.00,No,Collision with vehicle,Thursday,LEFT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Other injury accident,50 km/hr,No,790,145.13712,-37.95621
3401817,T20130013869,ABS to receive accident,Finished,4/07/2013,09.00.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,50 km/hr,Yes,261642,143.14877,-38.23531
3401818,T20130013874,ABS to receive accident,Finished,4/07/2013,09.45.00,No,Collision with vehicle,Thursday,LEFT TURN SIDESWIPE,No,Day,No,T intersection,Other injury accident,60 km/hr,No,261657,145.00822,-37.81993
3401819,T20130013877,ABS to receive accident,Finished,4/07/2013,09.40.00,No,Collision with vehicle,Thursday,RIGHT TURN SIDESWIPE,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,262037,145.193,-38.30549
3401820,T20130013885,ABS to receive accident,Finished,4/07/2013,11.45.00,No,Collision with vehicle,Thursday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Serious injury accident,70 km/hr,No,71426,144.34646,-38.09508
3401821,T20130013888,ABS to receive accident,Finished,4/07/2013,11.28.00,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,Yes,Day,No,Cross intersection,Other injury accident,50 km/hr,No,45113,145.58839,-38.60516
3401822,T20130014022,ABS to receive accident,Finished,6/07/2013,13.04.00,No,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,263606,144.77769,-37.87051
3401823,T20130014024,ABS to receive accident,Finished,6/07/2013,14.30.00,Yes,Collision with vehicle,Saturday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,50 km/hr,No,283345,145.42787,-37.21054
3401824,T20130014026,ABS to receive accident,Finished,6/07/2013,14.45.00,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,70 km/hr,No,233759,145.0195,-37.86255
3401825,T20130014027,ABS to receive accident,Finished,6/07/2013,14.51.00,Yes,Collision with a fixed object,Saturday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Day,Yes,Dead end,Serious injury accident,50 km/hr,No,261851,145.06722,-37.94386
3401826,T20130014028,ABS to receive accident,Finished,6/07/2013,12.24.00,No,Collision with vehicle,Saturday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,41317,144.91994,-37.74258
3401827,T20130014032,ABS to receive accident,Finished,6/07/2013,16.45.00,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,70 km/hr,No,43598,145.16074,-38.19579
3401828,T20130014033,ABS to receive accident,Finished,6/07/2013,15.05.00,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,90 km/hr,No,44022,145.1456,-38.30009
3401829,T20130014034,ABS to receive accident,Finished,6/07/2013,17.50.00,Yes,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,36588,145.03814,-38.22147
3401830,T20130014035,ABS to receive accident,Finished,6/07/2013,17.50.00,Yes,Collision with vehicle,Saturday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,T intersection,Other injury accident,50 km/hr,No,62525,144.95365,-37.72307
3401831,T20130014037,ABS to receive accident,Finished,6/07/2013,15.45.00,Yes,Collision with vehicle,Saturday,U TURN,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,No,261778,144.39163,-37.73881
3401832,T20130014039,ABS to receive accident,Finished,6/07/2013,18.00.00,Yes,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,Yes,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,241846,145.02954,-37.7232
3401833,T20130014042,ABS to receive accident,Finished,6/07/2013,19.15.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,100 km/hr,No,263275,145.32047,-38.02752
3401834,T20130014044,ABS to receive accident,Finished,6/07/2013,18.35.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,T intersection,Other injury accident,80 km/hr,No,37362,144.77463,-37.696
3401835,T20130013894,ABS to receive accident,Finished,4/07/2013,14.10.00,No,Collision with vehicle,Thursday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,261571,145.0281,-37.80828
3401836,T20130013901,ABS to receive accident,Finished,4/07/2013,15.05.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,41745,145.14011,-37.91636
3401837,T20130013902,ABS to receive accident,Finished,4/07/2013,10.50.00,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,No,35355,144.96226,-37.81228
3401838,T20130013904,ABS to receive accident,Finished,4/07/2013,15.37.00,No,Collision with vehicle,Thursday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,40 km/hr,No,261659,144.98346,-37.80365
3401839,T20130013905,ABS to receive accident,Finished,4/07/2013,15.40.00,No,Struck Pedestrian,Thursday,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,261660,144.97452,-37.71082
3401840,T20130013909,ABS to receive accident,Finished,4/07/2013,16.22.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Dusk/Dawn,Yes,Cross intersection,Other injury accident,60 km/hr,No,29382,144.95118,-37.8318
3401841,T20130013912,ABS to receive accident,Finished,4/07/2013,17.35.00,No,Vehicle overturned (no collision),Thursday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,No,261572,144.92746,-37.73498
3401842,T20130013918,ABS to receive accident,Finished,4/07/2013,16.20.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,263706,145.33968,-37.80663
3401843,T20130013919,ABS to receive accident,Finished,4/07/2013,18.50.00,Yes,Collision with vehicle,Thursday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,T intersection,Other injury accident,80 km/hr,No,37019,145.30474,-38.03874
3401844,T20130013923,ABS to receive accident,Finished,4/07/2013,18.30.00,Yes,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,No,260488,145.03968,-37.84453
3401845,T20130013927,ABS to receive accident,Finished,4/07/2013,21.35.00,Yes,Collision with vehicle,Thursday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,64810,145.32895,-37.78915
